game_title,game_release_date,game_critic_score,game_user_score,video_number,video_total_views,video_total_likes,video_total_dislikes,video_total_favorites,video_total_comments,game_total_critic_reviews,game_total_user_reviews,game_type,game_rating,game_critic_positive_reviews,game_critic_mixed_reviews,game_critic_negative_reviews,game_user_positive_reviews,game_user_mixed_reviews,game_user_negative_reviews,video_average_views,game_name,links,global_sales
The Orange Box,2007-10-10,96,9.3,16,9624,158,11,0,52,34,1506,Action,M,34,0,0,227,9,9,601.5,The Orange Box,http://www.vgchartz.com/game/7663/the-orange-box/,0.14
BioShock,2007-08-21,96,8.5,49,1347339,20804,569,0,3707,44,3650,Action,M,44,0,0,497,130,130,27496.7142857143,BioShock,http://www.vgchartz.com/game/7217/bioshock/,0.41
Call of Duty 4: Modern Warfare,2007-11-05,92,8.5,48,6341642,89248,3857,0,14358,40,2383,Action,M,40,0,0,339,42,42,132117.541666667,Call of Duty 4: Modern Warfare,http://www.vgchartz.com/game/7608/call-of-duty-4-modern-warfare/,1.15
Crysis,2007-11-13,91,8,44,1406145,10144,252,0,2421,56,1986,Action,M,56,0,0,273,107,107,31957.8409090909,Crysis,http://www.vgchartz.com/game/7182/crysis/,0.71
World of Warcraft: The Burning Crusade,2007-01-16,91,7.9,38,2874203,22853,331,0,4644,46,791,Role-Playing,T,45,1,0,77,16,16,75636.9210526316,World of Warcraft: The Burning Crusade,http://www.vgchartz.com/game/7591/world-of-warcraft-the-burning-crusade/,4.09
Half-Life 2: Episode Two,2007-10-10,90,9.2,50,263140,5485,163,0,465,21,1888,Action,M,21,0,0,292,26,26,5262.8,Half-Life 2,http://www.vgchartz.com/game/7279/half-life-2/,2.37
World in Conflict,2007-09-18,89,8.1,41,141774,1151,26,0,315,44,302,Strategy,T,43,1,0,42,18,18,3457.90243902439,World in Conflict,http://www.vgchartz.com/game/14503/world-in-conflict/,0.04
Company of Heroes: Opposing Fronts,2007-09-24,87,8.6,47,357467,2656,72,0,775,36,236,Strategy,M,36,0,0,36,4,4,7605.68085106383,Company of Heroes: Opposing Fronts,http://www.vgchartz.com/game/18479/company-of-heroes-opposing-fronts/,0.04
Gears of War,2007-11-06,87,7.8,40,1612579,13302,509,0,2125,36,574,Action,M,35,1,0,25,18,18,40314.475,Gears of War,http://www.vgchartz.com/game/13240/gears-of-war/,0.02
Supreme Commander,2007-02-20,86,8.3,49,319013,2772,154,0,970,44,263,Strategy,E10+,40,4,0,61,10,10,6510.4693877551,Supreme Commander,http://www.vgchartz.com/game/13156/supreme-commander/,0.05
Sid Meier's Civilization IV: Beyond the Sword,2007-07-23,86,8.6,45,166448,2651,74,0,603,28,174,Strategy,E10+,26,2,0,26,4,4,3698.84444444444,Sid Meier's Civilization IV,http://www.vgchartz.com/game/7308/sid-meiers-civilization-iv/,0.16
The Lord of the Rings Online: Shadows of Angmar,2007-04-24,86,8.1,27,245037,667,41,0,421,40,259,Role-Playing,T,39,1,0,58,20,20,9075.44444444445,The Lord of the Rings Online: Shadows of Angmar,http://www.vgchartz.com/gamedb/?name=The+Lord+of+the+Rings+Online%3A+Shadows+of+Angmar,0
IL-2 Sturmovik: 1946,2007-03-13,86,8.8,23,108517,1478,38,0,594,9,116,Simulation,T,9,0,0,20,1,1,4718.13043478261,IL-2 Sturmovik: 1946,http://www.vgchartz.com/game/26046/il-2-sturmovik-1946/,0.04
The Elder Scrolls IV: Shivering Isles,2007-03-26,86,8.4,18,1320974,17803,360,0,4947,34,185,Role-Playing,M,33,1,0,20,2,2,73387.4444444444,The Elder Scrolls IV: Shivering Isles,NA,0.26
Command & Conquer 3: Tiberium Wars,2007-03-26,85,8,47,6489753,42873,2603,0,9522,47,395,Strategy,T,43,4,0,51,16,16,138079.85106383,Command & Conquer 3: Tiberium Wars,http://www.vgchartz.com/game/7473/command-amp-conquer-3-tiberium-wars/,0.07
Medieval II: Total War Kingdoms,2007-08-28,85,8.8,24,972563,7693,432,0,2450,22,170,Strategy,T,21,1,0,17,3,3,40523.4583333333,Medieval II: Total War,http://www.vgchartz.com/game/13249/medieval-ii-total-war/,0.11
Puzzle Quest: Challenge of the Warlords,2007-10-10,84,8.3,28,154008,308,49,0,65,7,85,Miscellaneous,E10+,6,1,0,14,4,4,5500.28571428571,Puzzle Quest: Challenge of the Warlords,http://www.vgchartz.com/gamedb/?name=Puzzle+Quest%3A+Challenge+of+the+Warlords,0
DiRT,2007-06-19,84,7.3,31,27994513,46360,5805,0,4118,20,92,Driving,E,20,0,0,9,9,9,903048.806451613,DiRT,http://www.vgchartz.com/game/20132/dirt/,0.02
Unreal Tournament III,2007-11-19,83,8,35,449899,3094,110,0,675,41,527,Action,M,38,3,0,68,28,28,12854.2571428571,Unreal Tournament III,http://www.vgchartz.com/game/12713/unreal-tournament-iii/,0.06
